Action,org:resource,concept:name,EventOrigin,EventID,lifecycle:transition,time:timestamp,,case:LoanGoal,case:ApplicationType,case:concept:name,case:RequestedAmount
statechange,User_1,A_Submitted,Application,ApplState_284636842,complete,2016-01-01 10:16:11.549000+00:00,,Home improvement,New credit,Application_1691306052,10000
statechange,User_1,A_Concept,Application,ApplState_421204851,complete,2016-01-01 10:17:31.594000+00:00,,Home improvement,New credit,Application_1691306052,10000
statechange,User_38,A_Accepted,Application,ApplState_525970231,complete,2016-01-02 10:59:44.735000+00:00,,Home improvement,New credit,Application_1691306052,10000
Created,User_38,O_Create Offer,Offer,Offer_1669071500,complete,2016-01-02 11:02:38.994000+00:00,,Home improvement,New credit,Application_1691306052,10000
statechange,User_38,O_Created,Offer,OfferState_680973097,complete,2016-01-02 11:02:40.442000+00:00,,Home improvement,New credit,Application_1691306052,10000
statechange,User_38,O_Sent (mail and online),Offer,OfferState_618588716,complete,2016-01-02 11:03:05.300000+00:00,,Home improvement,New credit,Application_1691306052,10000
Deleted,User_38,W_Complete application,Workflow,Workitem_28216352,complete,2016-01-02 11:03:05.324000+00:00,,Home improvement,New credit,Application_1691306052,10000
statechange,User_38,A_Complete,Application,ApplState_173433077,complete,2016-01-02 11:03:05.346000+00:00,,Home improvement,New credit,Application_1691306052,10000
statechange,User_119,A_Validating,Application,ApplState_2031628358,complete,2016-01-07 09:40:09.412000+00:00,,Home improvement,New credit,Application_1691306052,10000
statechange,User_68,A_Denied,Application,ApplState_1181660825,complete,2016-01-07 13:29:49.671000+00:00,,Home improvement,New credit,Application_1691306052,10000
statechange,User_68,O_Refused,Offer,OfferState_1494429296,complete,2016-01-07 13:29:49.710000+00:00,,Home improvement,New credit,Application_1691306052,10000
Deleted,User_68,W_Validate application,Workflow,Workitem_72878931,complete,2016-01-07 13:29:49.725000+00:00,,Home improvement,New credit,Application_1691306052,10000
Created,User_1,A_Create Application,Application,Application_428409768,complete,2016-01-01 11:19:38.177000+00:00,,Home improvement,New credit,Application_428409768,15000
statechange,User_1,A_Submitted,Application,ApplState_105207793,complete,2016-01-01 11:19:38.235000+00:00,,Home improvement,New credit,Application_428409768,15000
statechange,User_1,A_Concept,Application,ApplState_1727723699,complete,2016-01-01 11:20:37.422000+00:00,,Home improvement,New credit,Application_428409768,15000
statechange,User_19,A_Accepted,Application,ApplState_504362841,complete,2016-01-02 11:02:44.472000+00:00,,Home improvement,New credit,Application_428409768,15000
Created,User_19,O_Create Offer,Offer,Offer_1209840642,complete,2016-01-02 11:05:15.942000+00:00,,Home improvement,New credit,Application_428409768,15000
statechange,User_19,O_Created,Offer,OfferState_942949889,complete,2016-01-02 11:05:17.204000+00:00,,Home improvement,New credit,Application_428409768,15000
statechange,User_19,O_Sent (mail and online),Offer,OfferState_253970058,complete,2016-01-02 11:06:53.268000+00:00,,Home improvement,New credit,Application_428409768,15000
Deleted,User_19,W_Complete application,Workflow,Workitem_2003414398,complete,2016-01-02 11:06:53.291000+00:00,,Home improvement,New credit,Application_428409768,15000
statechange,User_19,A_Complete,Application,ApplState_864110001,complete,2016-01-02 11:06:53.316000+00:00,,Home improvement,New credit,Application_428409768,15000
Created,User_19,O_Create Offer,Offer,Offer_997411923,complete,2016-01-02 11:25:44.202000+00:00,,Home improvement,New credit,Application_428409768,15000
statechange,User_19,O_Created,Offer,OfferState_1967587147,complete,2016-01-02 11:25:45.416000+00:00,,Home improvement,New credit,Application_428409768,15000
statechange,User_19,O_Cancelled,Offer,OfferState_1893960455,complete,2016-01-02 11:26:06.088000+00:00,,Home improvement,New credit,Application_428409768,15000
statechange,User_19,O_Sent (mail and online),Offer,OfferState_600565321,complete,2016-01-02 11:26:19.140000+00:00,,Home improvement,New credit,Application_428409768,15000
statechange,User_116,A_Validating,Application,ApplState_145257449,complete,2016-01-13 08:57:22.349000+00:00,,Home improvement,New credit,Application_428409768,15000
statechange,User_116,O_Returned,Offer,OfferState_836197344,complete,2016-01-13 09:08:14.217000+00:00,,Home improvement,New credit,Application_428409768,15000
statechange,User_101,A_Incomplete,Application,ApplState_572176202,complete,2016-01-13 12:19:05.175000+00:00,,Home improvement,New credit,Application_428409768,15000
statechange,User_31,A_Validating,Application,ApplState_1022298,complete,2016-01-13 16:01:21.274000+00:00,,Home improvement,New credit,Application_428409768,15000
statechange,User_90,O_Accepted,Offer,OfferState_892473715,complete,2016-01-14 07:00:14.440000+00:00,,Home improvement,New credit,Application_428409768,15000
statechange,User_90,A_Pending,Application,ApplState_16917315,complete,2016-01-14 07:00:14.450000+00:00,,Home improvement,New credit,Application_428409768,15000
Created,User_1,A_Create Application,Application,Application_1746793196,complete,2016-01-01 12:34:53.911000+00:00,,Car,New credit,Application_1746793196,5000
statechange,User_1,A_Submitted,Application,ApplState_282472804,complete,2016-01-01 12:34:53.950000+00:00,,Car,New credit,Application_1746793196,5000
Deleted,User_17,W_Handle leads,Workflow,Workitem_548358991,complete,2016-01-02 09:06:04.201000+00:00,,Car,New credit,Application_1746793196,5000
statechange,User_17,A_Concept,Application,ApplState_694592100,complete,2016-01-02 09:06:04.213000+00:00,,Car,New credit,Application_1746793196,5000
statechange,User_19,A_Accepted,Application,ApplState_954927792,complete,2016-01-04 17:15:59.130000+00:00,,Car,New credit,Application_1746793196,5000
Created,User_19,O_Create Offer,Offer,Offer_1319158006,complete,2016-01-04 17:19:15.892000+00:00,,Car,New credit,Application_1746793196,5000
statechange,User_19,O_Created,Offer,OfferState_133034254,complete,2016-01-04 17:19:17.295000+00:00,,Car,New credit,Application_1746793196,5000
statechange,User_19,O_Sent (mail and online),Offer,OfferState_644503319,complete,2016-01-04 17:23:02.522000+00:00,,Car,New credit,Application_1746793196,5000
Deleted,User_19,W_Complete application,Workflow,Workitem_1167420013,complete,2016-01-04 17:23:02.547000+00:00,,Car,New credit,Application_1746793196,5000
statechange,User_19,A_Complete,Application,ApplState_1386029472,complete,2016-01-04 17:23:02.565000+00:00,,Car,New credit,Application_1746793196,5000
Created,User_12,O_Create Offer,Offer,Offer_774210695,complete,2016-01-09 09:48:22.412000+00:00,,Car,New credit,Application_1746793196,5000
statechange,User_12,O_Created,Offer,OfferState_277936825,complete,2016-01-09 09:48:23.790000+00:00,,Car,New credit,Application_1746793196,5000
statechange,User_12,O_Sent (mail and online),Offer,OfferState_307874946,complete,2016-01-09 09:48:33.917000+00:00,,Car,New credit,Application_1746793196,5000
statechange,User_119,A_Validating,Application,ApplState_1497466516,complete,2016-01-25 13:37:29.552000+00:00,,Car,New credit,Application_1746793196,5000
statechange,User_119,O_Returned,Offer,OfferState_229951725,complete,2016-01-25 13:37:59.579000+00:00,,Car,New credit,Application_1746793196,5000
statechange,User_114,A_Incomplete,Application,ApplState_413924701,complete,2016-01-26 08:42:09.997000+00:00,,Car,New credit,Application_1746793196,5000
statechange,User_118,A_Validating,Application,ApplState_1925923775,complete,2016-01-27 10:57:57.455000+00:00,,Car,New credit,Application_1746793196,5000
Deleted,User_95,W_Validate application,Workflow,Workitem_337672531,complete,2016-01-28 09:18:39.340000+00:00,,Car,New credit,Application_1746793196,5000
statechange,User_95,A_Incomplete,Application,ApplState_1073225954,complete,2016-01-28 09:18:39.350000+00:00,,Car,New credit,Application_1746793196,5000
statechange,User_116,A_Validating,Application,ApplState_620620025,complete,2016-01-28 11:56:13.933000+00:00,,Car,New credit,Application_1746793196,5000
statechange,User_95,O_Accepted,Offer,OfferState_379863070,complete,2016-01-28 12:18:51.289000+00:00,,Car,New credit,Application_1746793196,5000
statechange,User_95,A_Pending,Application,ApplState_1840619616,complete,2016-01-28 12:18:51.292000+00:00,,Car,New credit,Application_1746793196,5000
Deleted,User_95,W_Validate application,Workflow,Workitem_871836313,complete,2016-01-28 12:18:51.295000+00:00,,Car,New credit,Application_1746793196,5000
statechange,User_95,O_Cancelled,Offer,OfferState_256378072,complete,2016-01-28 12:18:51.306000+00:00,,Car,New credit,Application_1746793196,5000
Created,User_1,A_Create Application,Application,Application_828200680,complete,2016-01-01 13:00:04.360000+00:00,,Home improvement,New credit,Application_828200680,35000
statechange,User_1,A_Submitted,Application,ApplState_420123528,complete,2016-01-01 13:00:04.398000+00:00,,Home improvement,New credit,Application_828200680,35000
statechange,User_1,A_Concept,Application,ApplState_281446729,complete,2016-01-01 13:01:44.671000+00:00,,Home improvement,New credit,Application_828200680,35000
statechange,User_19,A_Accepted,Application,ApplState_873422308,complete,2016-01-02 11:40:45.797000+00:00,,Home improvement,New credit,Application_828200680,35000
Created,User_19,O_Create Offer,Offer,Offer_607758096,complete,2016-01-02 11:42:23.751000+00:00,,Home improvement,New credit,Application_828200680,35000
statechange,User_19,O_Created,Offer,OfferState_328204955,complete,2016-01-02 11:42:25.106000+00:00,,Home improvement,New credit,Application_828200680,35000
statechange,User_19,O_Sent (mail and online),Offer,OfferState_1161306540,complete,2016-01-02 11:43:56.242000+00:00,,Home improvement,New credit,Application_828200680,35000
Deleted,User_19,W_Complete application,Workflow,Workitem_975111658,complete,2016-01-02 11:43:56.259000+00:00,,Home improvement,New credit,Application_828200680,35000
statechange,User_19,A_Complete,Application,ApplState_2090693037,complete,2016-01-02 11:43:56.271000+00:00,,Home improvement,New credit,Application_828200680,35000
statechange,User_1,A_Cancelled,Application,ApplState_1001947261,complete,2016-02-02 07:00:20.734000+00:00,,Home improvement,New credit,Application_828200680,35000
statechange,User_1,O_Cancelled,Offer,OfferState_1690367453,complete,2016-02-02 07:00:20.837000+00:00,,Home improvement,New credit,Application_828200680,35000
Created,User_1,A_Create Application,Application,Application_1085880569,complete,2016-01-01 13:05:19.866000+00:00,,Existing loan takeover,New credit,Application_1085880569,13000
statechange,User_1,A_Submitted,Application,ApplState_736842791,complete,2016-01-01 13:05:19.901000+00:00,,Existing loan takeover,New credit,Application_1085880569,13000
statechange,User_1,A_Concept,Application,ApplState_1145436902,complete,2016-01-01 13:06:26.321000+00:00,,Existing loan takeover,New credit,Application_1085880569,13000
statechange,User_17,A_Accepted,Application,ApplState_515475781,complete,2016-01-02 11:40:28.520000+00:00,,Existing loan takeover,New credit,Application_1085880569,13000
Created,User_17,O_Create Offer,Offer,Offer_213805292,complete,2016-01-02 11:43:26.149000+00:00,,Existing loan takeover,New credit,Application_1085880569,13000
statechange,User_17,O_Created,Offer,OfferState_677711590,complete,2016-01-02 11:43:27.409000+00:00,,Existing loan takeover,New credit,Application_1085880569,13000
statechange,User_17,O_Sent (mail and online),Offer,OfferState_946572032,complete,2016-01-02 11:45:11.161000+00:00,,Existing loan takeover,New credit,Application_1085880569,13000
Deleted,User_17,W_Complete application,Workflow,Workitem_1190824769,complete,2016-01-02 11:45:11.179000+00:00,,Existing loan takeover,New credit,Application_1085880569,13000
statechange,User_17,A_Complete,Application,ApplState_714356828,complete,2016-01-02 11:45:11.193000+00:00,,Existing loan takeover,New credit,Application_1085880569,13000
Created,User_8,O_Create Offer,Offer,Offer_644568599,complete,2016-01-29 09:35:42.536000+00:00,,Existing loan takeover,New credit,Application_1085880569,13000
statechange,User_8,O_Created,Offer,OfferState_480218486,complete,2016-01-29 09:35:44.435000+00:00,,Existing loan takeover,New credit,Application_1085880569,13000
statechange,User_8,O_Sent (mail and online),Offer,OfferState_1261863312,complete,2016-01-29 09:35:55.121000+00:00,,Existing loan takeover,New credit,Application_1085880569,13000
statechange,User_1,A_Cancelled,Application,ApplState_2080840955,complete,2016-02-29 07:00:48.775000+00:00,,Existing loan takeover,New credit,Application_1085880569,13000
statechange,User_1,O_Cancelled,Offer,OfferState_1279812041,complete,2016-02-29 07:00:48.807000+00:00,,Existing loan takeover,New credit,Application_1085880569,13000
statechange,User_1,O_Cancelled,Offer,OfferState_1604131650,complete,2016-02-29 07:00:48.815000+00:00,,Existing loan takeover,New credit,Application_1085880569,13000
Created,User_1,A_Create Application,Application,Application_1266995739,complete,2016-01-01 13:22:19.758000+00:00,,Existing loan takeover,New credit,Application_1266995739,7000
statechange,User_1,A_Submitted,Application,ApplState_1503316651,complete,2016-01-01 13:22:19.796000+00:00,,Existing loan takeover,New credit,Application_1266995739,7000
statechange,User_1,A_Concept,Application,ApplState_287418819,complete,2016-01-01 13:23:29.511000+00:00,,Existing loan takeover,New credit,Application_1266995739,7000
statechange,User_3,A_Accepted,Application,ApplState_784589932,complete,2016-01-02 13:35:32.248000+00:00,,Existing loan takeover,New credit,Application_1266995739,7000
Created,User_3,O_Create Offer,Offer,Offer_467024374,complete,2016-01-02 13:38:19.507000+00:00,,Existing loan takeover,New credit,Application_1266995739,7000
statechange,User_3,O_Created,Offer,OfferState_320497291,complete,2016-01-02 13:38:20.745000+00:00,,Existing loan takeover,New credit,Application_1266995739,7000
statechange,User_3,O_Sent (mail and online),Offer,OfferState_1832385008,complete,2016-01-02 13:38:31.338000+00:00,,Existing loan takeover,New credit,Application_1266995739,7000
statechange,User_3,A_Complete,Application,ApplState_561170698,complete,2016-01-02 13:38:31.368000+00:00,,Existing loan takeover,New credit,Application_1266995739,7000
statechange,User_113,A_Validating,Application,ApplState_541351824,complete,2016-01-08 09:21:20.819000+00:00,,Existing loan takeover,New credit,Application_1266995739,7000
statechange,User_113,O_Returned,Offer,OfferState_569646273,complete,2016-01-08 09:21:27.927000+00:00,,Existing loan takeover,New credit,Application_1266995739,7000
statechange,User_100,A_Incomplete,Application,ApplState_1874120270,complete,2016-01-08 12:46:40.555000+00:00,,Existing loan takeover,New credit,Application_1266995739,7000
statechange,User_27,A_Cancelled,Application,ApplState_1779667275,complete,2016-01-09 15:48:53.141000+00:00,,Existing loan takeover,New credit,Application_1266995739,7000
statechange,User_27,O_Cancelled,Offer,OfferState_1624044404,complete,2016-01-09 15:48:53.168000+00:00,,Existing loan takeover,New credit,Application_1266995739,7000
Created,User_1,A_Create Application,Application,Application_1878239836,complete,2016-01-01 13:35:26.422000+00:00,,Home improvement,New credit,Application_1878239836,15000
statechange,User_1,A_Submitted,Application,ApplState_649299817,complete,2016-01-01 13:35:26.463000+00:00,,Home improvement,New credit,Application_1878239836,15000
statechange,User_1,A_Concept,Application,ApplState_70781426,complete,2016-01-01 13:36:31.003000+00:00,,Home improvement,New credit,Application_1878239836,15000
statechange,User_3,A_Accepted,Application,ApplState_1724218207,complete,2016-01-02 13:59:27.406000+00:00,,Home improvement,New credit,Application_1878239836,15000
Created,User_3,O_Create Offer,Offer,Offer_117620760,complete,2016-01-02 13:59:59.998000+00:00,,Home improvement,New credit,Application_1878239836,15000
statechange,User_3,O_Created,Offer,OfferState_1078624957,complete,2016-01-02 14:00:01.362000+00:00,,Home improvement,New credit,Application_1878239836,15000
statechange,User_3,O_Sent (mail and online),Offer,OfferState_1280164227,complete,2016-01-02 14:00:19.890000+00:00,,Home improvement,New credit,Application_1878239836,15000
Deleted,User_3,W_Complete application,Workflow,Workitem_211351604,complete,2016-01-02 14:00:19.915000+00:00,,Home improvement,New credit,Application_1878239836,15000
statechange,User_3,A_Complete,Application,ApplState_1631192678,complete,2016-01-02 14:00:20.011000+00:00,,Home improvement,New credit,Application_1878239836,15000
statechange,User_113,A_Validating,Application,ApplState_1638726748,complete,2016-01-08 10:08:50.154000+00:00,,Home improvement,New credit,Application_1878239836,15000
statechange,User_113,O_Returned,Offer,OfferState_789899351,complete,2016-01-08 10:09:09.540000+00:00,,Home improvement,New credit,Application_1878239836,15000
statechange,User_99,A_Denied,Application,ApplState_427425012,complete,2016-01-11 09:30:52.964000+00:00,,Home improvement,New credit,Application_1878239836,15000
statechange,User_99,O_Refused,Offer,OfferState_722957562,complete,2016-01-11 09:30:52.996000+00:00,,Home improvement,New credit,Application_1878239836,15000
Deleted,User_99,W_Validate application,Workflow,Workitem_681085295,complete,2016-01-11 09:30:53.009000+00:00,,Home improvement,New credit,Application_1878239836,15000
Created,User_1,A_Create Application,Application,Application_619403287,complete,2016-01-01 14:13:16.064000+00:00,,Car,New credit,Application_619403287,15000
statechange,User_1,A_Submitted,Application,ApplState_1207742536,complete,2016-01-01 14:13:16.117000+00:00,,Car,New credit,Application_619403287,15000
statechange,User_1,A_Concept,Application,ApplState_1877855588,complete,2016-01-01 14:14:33.857000+00:00,,Car,New credit,Application_619403287,15000
statechange,User_19,A_Accepted,Application,ApplState_361506504,complete,2016-01-02 14:32:24.768000+00:00,,Car,New credit,Application_619403287,15000
Created,User_19,O_Create Offer,Offer,Offer_1534843733,complete,2016-01-02 14:41:07.809000+00:00,,Car,New credit,Application_619403287,15000
statechange,User_19,O_Created,Offer,OfferState_747412500,complete,2016-01-02 14:41:09.180000+00:00,,Car,New credit,Application_619403287,15000
statechange,User_19,O_Sent (mail and online),Offer,OfferState_31930877,complete,2016-01-02 14:44:54.594000+00:00,,Car,New credit,Application_619403287,15000
Deleted,User_19,W_Complete application,Workflow,Workitem_1701842789,complete,2016-01-02 14:44:54.610000+00:00,,Car,New credit,Application_619403287,15000
statechange,User_19,A_Complete,Application,ApplState_755873942,complete,2016-01-02 14:44:54.624000+00:00,,Car,New credit,Application_619403287,15000
statechange,User_118,A_Validating,Application,ApplState_1311675852,complete,2016-01-11 10:05:55.740000+00:00,,Car,New credit,Application_619403287,15000
statechange,User_118,O_Returned,Offer,OfferState_1434902311,complete,2016-01-11 10:07:25.792000+00:00,,Car,New credit,Application_619403287,15000
statechange,User_100,A_Incomplete,Application,ApplState_650228270,complete,2016-01-12 10:00:09.615000+00:00,,Car,New credit,Application_619403287,15000
statechange,User_119,O_Accepted,Offer,OfferState_1955110075,complete,2016-01-22 08:03:30.895000+00:00,,Car,New credit,Application_619403287,15000
statechange,User_119,A_Pending,Application,ApplState_1373444220,complete,2016-01-22 08:03:30.899000+00:00,,Car,New credit,Application_619403287,15000
Created,User_1,A_Create Application,Application,Application_1710223761,complete,2016-01-01 14:23:21.334000+00:00,,Car,New credit,Application_1710223761,11000
statechange,User_1,A_Submitted,Application,ApplState_575564150,complete,2016-01-01 14:23:21.381000+00:00,,Car,New credit,Application_1710223761,11000
statechange,User_1,A_Concept,Application,ApplState_1784923327,complete,2016-01-01 14:24:54.538000+00:00,,Car,New credit,Application_1710223761,11000
statechange,User_3,A_Accepted,Application,ApplState_1328647978,complete,2016-01-02 15:48:12.301000+00:00,,Car,New credit,Application_1710223761,11000
Created,User_3,O_Create Offer,Offer,Offer_108214080,complete,2016-01-02 15:50:34.334000+00:00,,Car,New credit,Application_1710223761,11000
statechange,User_3,O_Created,Offer,OfferState_1765583054,complete,2016-01-02 15:50:35.636000+00:00,,Car,New credit,Application_1710223761,11000
statechange,User_3,O_Sent (mail and online),Offer,OfferState_1025469920,complete,2016-01-02 15:50:48.565000+00:00,,Car,New credit,Application_1710223761,11000
statechange,User_3,A_Complete,Application,ApplState_103429513,complete,2016-01-02 15:50:48.594000+00:00,,Car,New credit,Application_1710223761,11000
statechange,User_1,A_Cancelled,Application,ApplState_910881174,complete,2016-02-02 07:00:34.729000+00:00,,Car,New credit,Application_1710223761,11000
statechange,User_1,O_Cancelled,Offer,OfferState_1613899155,complete,2016-02-02 07:00:34.753000+00:00,,Car,New credit,Application_1710223761,11000
Created,User_1,A_Create Application,Application,Application_1529124572,complete,2016-01-01 14:42:36.728000+00:00,,"Other, see explanation",New credit,Application_1529124572,5000
statechange,User_1,A_Submitted,Application,ApplState_1427234050,complete,2016-01-01 14:42:36.767000+00:00,,"Other, see explanation",New credit,Application_1529124572,5000
statechange,User_1,A_Concept,Application,ApplState_1003788210,complete,2016-01-01 14:43:30.767000+00:00,,"Other, see explanation",New credit,Application_1529124572,5000
statechange,User_31,A_Accepted,Application,ApplState_536794392,complete,2016-01-04 15:44:35.991000+00:00,,"Other, see explanation",New credit,Application_1529124572,5000
Created,User_31,O_Create Offer,Offer,Offer_1217920740,complete,2016-01-04 15:52:37.581000+00:00,,"Other, see explanation",New credit,Application_1529124572,5000
statechange,User_31,O_Created,Offer,OfferState_1472553007,complete,2016-01-04 15:52:38.783000+00:00,,"Other, see explanation",New credit,Application_1529124572,5000
statechange,User_31,O_Sent (mail and online),Offer,OfferState_1853526210,complete,2016-01-04 15:53:48.333000+00:00,,"Other, see explanation",New credit,Application_1529124572,5000
Deleted,User_31,W_Complete application,Workflow,Workitem_1073595700,complete,2016-01-04 15:53:48.360000+00:00,,"Other, see explanation",New credit,Application_1529124572,5000
statechange,User_31,A_Complete,Application,ApplState_1072782029,complete,2016-01-04 15:53:48.377000+00:00,,"Other, see explanation",New credit,Application_1529124572,5000
statechange,User_112,A_Validating,Application,ApplState_1897058243,complete,2016-01-26 10:44:37.207000+00:00,,"Other, see explanation",New credit,Application_1529124572,5000
statechange,User_112,O_Returned,Offer,OfferState_1318669444,complete,2016-01-26 10:44:57.720000+00:00,,"Other, see explanation",New credit,Application_1529124572,5000
statechange,User_100,A_Incomplete,Application,ApplState_174597735,complete,2016-01-26 11:17:29.198000+00:00,,"Other, see explanation",New credit,Application_1529124572,5000
statechange,User_114,A_Validating,Application,ApplState_361995133,complete,2016-01-26 15:02:48.564000+00:00,,"Other, see explanation",New credit,Application_1529124572,5000
statechange,User_75,O_Accepted,Offer,OfferState_1413149954,complete,2016-01-27 09:25:38.984000+00:00,,"Other, see explanation",New credit,Application_1529124572,5000
statechange,User_75,A_Pending,Application,ApplState_788894388,complete,2016-01-27 09:25:38.989000+00:00,,"Other, see explanation",New credit,Application_1529124572,5000
Created,User_1,A_Create Application,Application,Application_387012864,complete,2016-01-01 16:00:01.353000+00:00,,"Other, see explanation",New credit,Application_387012864,5000
statechange,User_1,A_Submitted,Application,ApplState_587211695,complete,2016-01-01 16:00:01.386000+00:00,,"Other, see explanation",New credit,Application_387012864,5000
statechange,User_1,A_Concept,Application,ApplState_1788519445,complete,2016-01-01 16:01:36.547000+00:00,,"Other, see explanation",New credit,Application_387012864,5000
statechange,User_17,A_Accepted,Application,ApplState_1300637007,complete,2016-01-02 14:40:57.341000+00:00,,"Other, see explanation",New credit,Application_387012864,5000
Created,User_17,O_Create Offer,Offer,Offer_1750007091,complete,2016-01-02 14:45:25.611000+00:00,,"Other, see explanation",New credit,Application_387012864,5000
statechange,User_17,O_Created,Offer,OfferState_317797165,complete,2016-01-02 14:45:26.830000+00:00,,"Other, see explanation",New credit,Application_387012864,5000
statechange,User_17,O_Sent (mail and online),Offer,OfferState_230953215,complete,2016-01-02 14:46:43.295000+00:00,,"Other, see explanation",New credit,Application_387012864,5000
Deleted,User_17,W_Complete application,Workflow,Workitem_1136091724,complete,2016-01-02 14:46:43.310000+00:00,,"Other, see explanation",New credit,Application_387012864,5000
statechange,User_17,A_Complete,Application,ApplState_1105320127,complete,2016-01-02 14:46:43.322000+00:00,,"Other, see explanation",New credit,Application_387012864,5000
statechange,User_1,A_Cancelled,Application,ApplState_203825421,complete,2016-02-02 07:00:36.947000+00:00,,"Other, see explanation",New credit,Application_387012864,5000
statechange,User_1,O_Cancelled,Offer,OfferState_1325708563,complete,2016-02-02 07:00:36.975000+00:00,,"Other, see explanation",New credit,Application_387012864,5000
Created,User_1,A_Create Application,Application,Application_1120819670,complete,2016-01-01 16:22:50.533000+00:00,,Car,New credit,Application_1120819670,6850
statechange,User_1,A_Submitted,Application,ApplState_1884976310,complete,2016-01-01 16:22:50.567000+00:00,,Car,New credit,Application_1120819670,6850
statechange,User_1,A_Concept,Application,ApplState_1970342959,complete,2016-01-01 16:23:36.096000+00:00,,Car,New credit,Application_1120819670,6850
statechange,User_17,A_Accepted,Application,ApplState_585252285,complete,2016-01-02 09:52:01.847000+00:00,,Car,New credit,Application_1120819670,6850
Created,User_17,O_Create Offer,Offer,Offer_1365106765,complete,2016-01-02 09:55:46.369000+00:00,,Car,New credit,Application_1120819670,6850
statechange,User_17,O_Created,Offer,OfferState_1700055433,complete,2016-01-02 09:55:47.693000+00:00,,Car,New credit,Application_1120819670,6850
statechange,User_17,O_Sent (mail and online),Offer,OfferState_16123997,complete,2016-01-02 09:59:50.268000+00:00,,Car,New credit,Application_1120819670,6850
statechange,User_17,A_Complete,Application,ApplState_1586359212,complete,2016-01-02 09:59:50.307000+00:00,,Car,New credit,Application_1120819670,6850
statechange,User_116,A_Validating,Application,ApplState_1264814638,complete,2016-01-08 09:55:33.742000+00:00,,Car,New credit,Application_1120819670,6850
statechange,User_116,O_Returned,Offer,OfferState_608790984,complete,2016-01-08 10:00:24.474000+00:00,,Car,New credit,Application_1120819670,6850
statechange,User_95,A_Incomplete,Application,ApplState_1001564345,complete,2016-01-08 15:20:19.460000+00:00,,Car,New credit,Application_1120819670,6850
statechange,User_119,A_Validating,Application,ApplState_1991974118,complete,2016-01-11 08:54:35.790000+00:00,,Car,New credit,Application_1120819670,6850
statechange,User_95,O_Accepted,Offer,OfferState_1067718689,complete,2016-01-11 09:42:07.001000+00:00,,Car,New credit,Application_1120819670,6850
statechange,User_95,A_Pending,Application,ApplState_1638612347,complete,2016-01-11 09:42:07.009000+00:00,,Car,New credit,Application_1120819670,6850
Deleted,User_95,W_Validate application,Workflow,Workitem_1835957354,complete,2016-01-11 09:42:07.014000+00:00,,Car,New credit,Application_1120819670,6850
Created,User_1,A_Create Application,Application,Application_42838382,complete,2016-01-01 16:58:48.775000+00:00,,Existing loan takeover,New credit,Application_42838382,29500
statechange,User_1,A_Submitted,Application,ApplState_1364915147,complete,2016-01-01 16:58:48.810000+00:00,,Existing loan takeover,New credit,Application_42838382,29500
